iter	Passed	Remaining
187	17926	271017
188	18014	270793
189	18098	270519
190	18186	270289
191	18266	269960
192	18348	269657
193	18442	269535
194	18516	269109
195	18600	268850
196	18680	268524
197	18766	268286
198	18847	267973
199	18922	267591
200	18998	267223
201	19091	267095
202	19185	266975
203	19279	266860
204	19364	266618
205	19454	266446
206	19545	266299
207	19634	266117
208	19722	265921
209	19817	265825
210	19899	265545
211	19982	265287
212	20079	265226
213	20157	264895
214	20259	264894
215	20351	264755
216	20439	264576
217	20518	264272
218	20606	264084
219	20687	263812
220	20770	263561
221	20844	263214
222	20934	263052
223	21022	262880
224	21113	262741
225	21196	262491
226	21286	262348
227	21376	262188
228	21452	261866
229	21529	261569
230	21616	261375
231	21704	261210
232	21793	261053
233	21880	260865
234	21962	260630
235	22033	260255
236	22121	260090
237	22211	259949
238	22296	259750
239	22386	259610
240	22469	259388
241	22557	259228
242	22646	259071
243	22734	258908
244	22822	258745
245	22911	258600
246	22996	258408
247	23077	258168
248	23176	258130
249	23266	257990
250	23354	257837
251	23455	257818
252	23552	257760
253	23626	257449
254	23727	257437
255	23813	257260
256	23909	257188
257	23989	256948
258	24079	256813
259	24183	256831
260	24280	256769
261	24375	256694
262	24466	256574
263	24569	256576
264	24672	256571
265	24770	256527
266	24860	256389
267	24947	256223
268	25042	256144
269	25132	256016
270	25227	255931
271	25312	255745
272	25414	255743
273	25511	255675
274	25604	255573
275	25695	255458
276	25786	255336
277	25880	255240
278	25967	255080
279	26064	255020
280	26167	255011
281	26265	254962
282	26361	254888
283	26454	254787
284	26555	254767
285	26655	254729
286	26752	254661
287	26844	254555
288	26926	254350
289	27021	254266
290	27110	254123
291	27199	253984
292	27302	253977
293	27385	253785
294	27489	253782
295	27571	253581
296	27672	253555
297	27765	253456
298	27850	253276
299	27935	253107
300	28022	252954
301	28120	252898
302	28213	252793
303	28307	252702
304	28398	252589
305	28494	252517
306	28593	252462
307	28690	252400
308	28780	252277
309	28862	252081
310	28942	251868
311	29029	251711
312	29113	251532
313	29216	251520
314	29299	251340
315	29389	251211
316	29485	251144
317	29593	251167
318	29673	250959
319	29768	250875
320	29867	250830
321	29972	250831
322	30053	250635
323	30158	250636
324	30251	250534
325	30344	250435
326	30431	250288
327	30521	250165
328	30615	250070
329	30700	249906
330	30806	249917
331	30891	249752
332	30982	249642
333	31085	249618
334	31177	249516
335	31263	249361
336	31349	249208
337	31447	249145
338	31551	249136
339	31650	249081
340	31738	248949
341	31837	248896
342	31935	248833
343	32028	248736
344	32125	248667
345	32217	248558
346	32308	248443
347	32398	248326
348	32487	248194
349	32570	248025
350	32654	247857
351	32749	247776
352	32843	247681
353	32929	247532
354	33007	247320
355	33095	247187
356	33179	247024
357	33266	246881
358	33346	246690
359	33434	246557
360	33535	246515
361	33627	246415
362	33716	246292
363	33824	246303
364	33931	246305
365	34035	246288
366	34131	246210
367	34218	246073
368	34309	245965
369	34407	245899
370	34507	245852
371	34592	245701
372	34690	245641
373	34789	245580
374	34886	245511
375	34971	245361
376	35054	245192
377	35129	244970
378	35209	244784
379	35308	244728
380	35415	244732
381	35507	244628
382	35604	244560
383	35698	244470
384	35788	244350
385	35884	244275
386	35976	244170
387	36068	244067
388	36168	244020
389	36267	243962
390	36362	243881
391	36440	243683
392	36538	243623
393	36636	243558
394	36724	243425
395	36812	243299
396	36922	243314
397	37022	243265
398	37111	243138
399	37205	243050
